,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Abdoulaye Doucouré,mlMLI,MF,Everton,32-042,1993,18.7,785,25,169,368,259,31,785,25,14,56.0,11,44.0,415,2104,991,29,18,3,22,25,521,61,Matches
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-035,2000,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches
Flynn Downes,engENG,MF,Southampton,26-023,1999,15.9,948,67,292,494,166,18,948,11,3,27.3,7,63.6,439,2379,1251,18,14,4,12,14,680,23,Matches
Tommy Doyle,engENG,MF,Wolves,23-118,2001,5.1,422,20,122,234,69,2,422,8,4,50.0,1,12.5,236,1284,542,6,3,0,7,4,277,2,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-009,2002,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2,Matches
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-028,1989,9.0,311,233,299,12,0,0,311,0,0,,0,,176,877,556,0,0,0,0,0,156,0,Matches
Lewis Dunk,engENG,DF,Brighton,33-083,1991,17.4,1600,205,778,748,84,15,1600,1,0,0.0,1,100.0,988,4693,2575,17,15,0,4,3,1163,2,Matches
Jáder Durán,coCOL,FW,Aston Villa,21-061,2003,7.1,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44,Matches
Ederson,brBRA,GK,Manchester City,31-179,1993,15.0,594,406,585,9,0,0,594,0,0,,0,,386,1685,1035,0,0,0,1,0,386,0,Matches
George Edmundson,engENG,DF,Ipswich Town,27-165,1997,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-027,1998,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
Odsonne Édouard,frFRA,FW,Leicester City,27-027,1998,0.3,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2,Matches
Samuel Edozie,engENG,"DF,FW",Southampton,22-015,2003,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23,Matches
Ronnie Edwards,engENG,DF,Southampton,21-321,2003,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-291,2002,16.2,658,26,100,186,383,64,658,47,13,27.7,19,40.4,345,2705,1551,60,30,29,45,27,430,117,Matches
Harvey Elliott,engENG,"MF,FW",Liverpool,21-314,2003,0.9,110,1,11,37,62,5,110,2,0,0.0,2,100.0,63,307,154,3,2,2,1,1,78,8,Matches
Yunus Emre Konak,trTUR,"MF,FW",Brentford,19-033,2006,0.2,23,0,5,10,8,0,23,1,0,0.0,1,100.0,9,51,34,1,0,1,2,3,13,1,Matches
Julio Enciso,pyPAR,MF,Ipswich Town,21-020,2004,1.1,78,0,10,38,32,2,78,9,6,66.7,3,33.3,39,314,167,3,7,1,1,6,62,7,Matches
Julio Enciso,pyPAR,"MF,FW",Brighton,21-020,2004,3.3,202,2,17,72,116,20,202,21,10,47.6,8,38.1,114,678,386,11,10,4,7,9,141,17,Matches
Wataru Endo,jpJPN,MF,Liverpool,32-003,1993,1.0,74,2,11,48,16,2,74,1,1,100.0,0,0.0,38,144,44,0,0,1,5,2,51,1,Matches
Christian Eriksen,dkDEN,MF,Manchester Utd,32-364,1992,7.1,504,17,103,261,144,9,504,1,0,0.0,1,100.0,277,962,366,5,6,0,3,3,330,19,Matches
