,Performance,Aerial Duels,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
130,Flynn Downes,eng ENG,MF,Southampton,26-006,1999,15.9,9,0,0,37,29,0,2,22,19,0,0,0,53,11,9,55.0,Matches,,,,
131,Tommy Doyle,eng ENG,MF,Wolves,23-101,2001,4.9,1,0,0,5,5,0,13,5,5,0,0,0,37,1,5,16.7,Matches,,,,
132,Radu Drăgușin,ro ROU,DF,Tottenham,22-358,2002,12.9,1,0,0,6,10,0,0,14,6,0,0,0,45,29,22,56.9,Matches,,,,
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8.0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,0,100.0,Matches,,,,
134,Lewis Dunk,eng ENG,DF,Brighton,33-066,1991,16.4,4,0,0,5,8,2,2,10,6,0,0,0,80,37,22,62.7,Matches,,,,
135,Jhon Durán,co COL,FW,Aston Villa,21-044,2003,6.8,3,1,0,14,15,5,3,0,7,0,0,0,17,19,18,51.4,Matches,,,,
136,Ederson,br BRA,GK,Manchester City,31-162,1993,15.0,3,0,0,1,0,0,0,1,0,0,1,0,26,2,1,66.7,Matches,,,,
137,George Edmundson,eng ENG,DF,Ipswich Town,27-148,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,,,,
138,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-010,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches,,,,
139,Odsonne Édouard,fr FRA,FW,Leicester City,27-010,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches,,,,
140,Samuel Edozie,eng ENG,"DF,FW",Southampton,21-364,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches,,,,
141,Ronnie Edwards,eng ENG,DF,Southampton,21-304,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,,,,
142,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-274,2002,15.2,1,0,0,4,24,10,104,5,8,0,0,0,54,14,23,37.8,Matches,,,,
143,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-297,2003,0.9,0,0,0,0,0,1,9,0,2,0,0,0,3,0,0,,Matches,,,,
144,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-016,2006,0.2,0,0,0,2,0,0,0,0,1,0,0,0,1,2,2,50.0,Matches,,,,
145,Julio Enciso,py PAR,MF,Ipswich Town,21-003,2004,0.1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches,,,,
146,Julio Enciso,py PAR,"MF,FW",Brighton,21-003,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches,,,,
147,Wataru Endo,jp JPN,MF,Liverpool,31-352,1993,0.9,0,0,0,6,4,0,0,2,3,0,0,0,7,0,2,0.0,Matches,,,,
148,Christian Eriksen,dk DEN,MF,Manchester Utd,32-347,1992,7.0,2,0,0,5,2,0,48,5,5,0,0,0,39,1,4,20.0,Matches,,,,
149,Pervis Estupiñán,ec ECU,DF,Brighton,27-005,1998,15.7,3,0,0,24,12,3,83,18,27,0,0,0,92,24,18,57.1,Matches,,,,
150,Evanilson,br BRA,FW,Bournemouth,25-112,1999,15.2,0,0,0,23,34,11,0,0,4,5,0,0,43,26,46,36.1,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,,,,
151,Jonny Evans,nir NIR,DF,Manchester Utd,37-023,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches,,,,
152,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-211,1998,16.6,1,0,0,6,31,5,69,7,16,0,0,0,84,3,26,10.3,Matches,,,,
153,Łukasz Fabiański,pl POL,GK,West Ham,39-283,1985,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches,,,,
154,Wout Faes,be BEL,DF,Leicester City,26-298,1998,16.3,3,0,0,12,5,1,2,13,16,0,0,0,47,31,17,64.6,Matches,,,,
155,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-324,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches,,,,
156,João Félix,pt POR,"FW,MF",Chelsea,25-077,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches,,,,
157,Evan Ferguson,ie IRL,FW,Brighton,20-099,2004,2.5,0,0,0,3,1,0,0,0,2,0,0,0,8,4,7,36.4,Matches,,,,
158,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,30-140,1994,19.4,3,2,1,18,26,2,92,15,25,0,0,0,109,12,22,35.3,Matches,,,,
